chunk_id,section_title,chunk_type,page_number,content,id,title,url,text,source_path,document_id,document_title,authors,publication,year,doi,abstract,top_level_sections
a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1001,Abstract,abstract,1,"Research has shown that lack of non-technical skills (also called, Crew Resource Management – CRM) contributes to most personal and process safety incidents in high-risk industries. Situational awareness in the most influential non-technical skill. Authors developed a disruptive program to generate situational awareness competencies and improve non-technical skills of front-line employees. The program is called: Permanent Attention. It combines best practices adapted from high-risk industries and industrial psychology science to generate statistically significant improvements in situational awareness competencies through a sustainable approach.",a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1001,A Disruptive Approach To CRM And Situational Awareness Competencies,C:\Users\gama_\TFM\etl_data\spe_papers_pdf\SPE_216422_Management_System_A_Disruptive_Approach_To_Crew_Resource_Management_And_Situational_Awareness_Competencies.pdf,"Research has shown that lack of non-technical skills (also called, Crew Resource Management – CRM) contributes to most personal and process safety incidents in high-risk industries. Situational awareness in the most influential non-technical skill. Authors developed a disruptive program to generate situational awareness competencies and improve non-technical skills of front-line employees. The program is called: Permanent Attention. It combines best practices adapted from high-risk industries and industrial psychology science to generate statistically significant improvements in situational awareness competencies through a sustainable approach.",C:\Users\gama_\TFM\etl_data\spe_papers_pdf\SPE_216422_Management_System_A_Disruptive_Approach_To_Crew_Resource_Management_And_Situational_Awareness_Competencies.pdf,a-disruptive-approach-to-crm-and-situational-awareness-competenc,A Disruptive Approach To CRM And Situational Awareness Competencies,"['J.C. Lopez', 'C. Botero', 'G. Miranda', 'F. Aguilera', 'G. Mirdad', 'S. Moynet', 'K. Shehabeldeen', 'A.M. Villalobos', 'A. Alvarado']",,2023,,"Research has shown that lack of non-technical skills contributes to most personal and process safety incidents in high-risk industries. Situational awareness is the most influential non-technical skill. Authors developed a disruptive program called Permanent Attention to generate situational awareness competencies and improve non-technical skills of front-line employees, showing significant improvements in situational awareness competency and CRM acquisition and retention.",[]
a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1002,Abstract,paragraph,1,The paper shows real case applications from two organizations where the Permanent Attention program has generated significant improvement in the participants’ situational awareness competency and non-technical skills (CRM) acquisition and retention.,a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1002,A Disruptive Approach To CRM And Situational Awareness Competencies,C:\Users\gama_\TFM\etl_data\spe_papers_pdf\SPE_216422_Management_System_A_Disruptive_Approach_To_Crew_Resource_Management_And_Situational_Awareness_Competencies.pdf,The paper shows real case applications from two organizations where the Permanent Attention program has generated significant improvement in the participants’ situational awareness competency and non-technical skills (CRM) acquisition and retention.,C:\Users\gama_\TFM\etl_data\spe_papers_pdf\SPE_216422_Management_System_A_Disruptive_Approach_To_Crew_Resource_Management_And_Situational_Awareness_Competencies.pdf,a-disruptive-approach-to-crm-and-situational-awareness-competenc,A Disruptive Approach To CRM And Situational Awareness Competencies,"['J.C. Lopez', 'C. Botero', 'G. Miranda', 'F. Aguilera', 'G. Mirdad', 'S. Moynet', 'K. Shehabeldeen', 'A.M. Villalobos', 'A. Alvarado']",,2023,,"Research has shown that lack of non-technical skills contributes to most personal and process safety incidents in high-risk industries. Situational awareness is the most influential non-technical skill. Authors developed a disruptive program called Permanent Attention to generate situational awareness competencies and improve non-technical skills of front-line employees, showing significant improvements in situational awareness competency and CRM acquisition and retention.",[]
a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1003,Abstract,paragraph,1,"The program is executed with the learner at the centre of the process. The Situation Awareness Global Assessment Technique (SAGAT, Endsley, and Garland, 2000) is used to measure the levels of situational awareness competency before and after the training, to determine the impact achieved through the program.",a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1003,A Disruptive Approach To CRM And Situational Awareness Competencies,C:\Users\gama_\TFM\etl_data\spe_papers_pdf\SPE_216422_Management_System_A_Disruptive_Approach_To_Crew_Resource_Management_And_Situational_Awareness_Competencies.pdf,"The program is executed with the learner at the centre of the process. The Situation Awareness Global Assessment Technique (SAGAT, Endsley, and Garland, 2000) is used to measure the levels of situational awareness competency before and after the training, to determine the impact achieved through the program.",C:\Users\gama_\TFM\etl_data\spe_papers_pdf\SPE_216422_Management_System_A_Disruptive_Approach_To_Crew_Resource_Management_And_Situational_Awareness_Competencies.pdf,a-disruptive-approach-to-crm-and-situational-awareness-competenc,A Disruptive Approach To CRM And Situational Awareness Competencies,"['J.C. Lopez', 'C. Botero', 'G. Miranda', 'F. Aguilera', 'G. Mirdad', 'S. Moynet', 'K. Shehabeldeen', 'A.M. Villalobos', 'A. Alvarado']",,2023,,"Research has shown that lack of non-technical skills contributes to most personal and process safety incidents in high-risk industries. Situational awareness is the most influential non-technical skill. Authors developed a disruptive program called Permanent Attention to generate situational awareness competencies and improve non-technical skills of front-line employees, showing significant improvements in situational awareness competency and CRM acquisition and retention.",[]
a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1004,Abstract,paragraph,1,"The ‘Repeated measures – ANOVA’ statistic model is used to scientifically demonstrate the significant impact of the process in the three elements of situational awareness: Attention, Comprehension and Anticipation.",a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1004,A Disruptive Approach To CRM And Situational Awareness Competencies,C:\Users\gama_\TFM\etl_data\spe_papers_pdf\SPE_216422_Management_System_A_Disruptive_Approach_To_Crew_Resource_Management_And_Situational_Awareness_Competencies.pdf,"The ‘Repeated measures – ANOVA’ statistic model is used to scientifically demonstrate the significant impact of the process in the three elements of situational awareness: Attention, Comprehension and Anticipation.",C:\Users\gama_\TFM\etl_data\spe_papers_pdf\SPE_216422_Management_System_A_Disruptive_Approach_To_Crew_Resource_Management_And_Situational_Awareness_Competencies.pdf,a-disruptive-approach-to-crm-and-situational-awareness-competenc,A Disruptive Approach To CRM And Situational Awareness Competencies,"['J.C. Lopez', 'C. Botero', 'G. Miranda', 'F. Aguilera', 'G. Mirdad', 'S. Moynet', 'K. Shehabeldeen', 'A.M. Villalobos', 'A. Alvarado']",,2023,,"Research has shown that lack of non-technical skills contributes to most personal and process safety incidents in high-risk industries. Situational awareness is the most influential non-technical skill. Authors developed a disruptive program called Permanent Attention to generate situational awareness competencies and improve non-technical skills of front-line employees, showing significant improvements in situational awareness competency and CRM acquisition and retention.",[]
a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1005,Abstract,paragraph,1,The training sessions in-between SAGATs contain theoretical information and practical exercises that equip the participant(s) with fundamentals.,a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1005,A Disruptive Approach To CRM And Situational Awareness Competencies,C:\Users\gama_\TFM\etl_data\spe_papers_pdf\SPE_216422_Management_System_A_Disruptive_Approach_To_Crew_Resource_Management_And_Situational_Awareness_Competencies.pdf,The training sessions in-between SAGATs contain theoretical information and practical exercises that equip the participant(s) with fundamentals.,C:\Users\gama_\TFM\etl_data\spe_papers_pdf\SPE_216422_Management_System_A_Disruptive_Approach_To_Crew_Resource_Management_And_Situational_Awareness_Competencies.pdf,a-disruptive-approach-to-crm-and-situational-awareness-competenc,A Disruptive Approach To CRM And Situational Awareness Competencies,"['J.C. Lopez', 'C. Botero', 'G. Miranda', 'F. Aguilera', 'G. Mirdad', 'S. Moynet', 'K. Shehabeldeen', 'A.M. Villalobos', 'A. Alvarado']",,2023,,"Research has shown that lack of non-technical skills contributes to most personal and process safety incidents in high-risk industries. Situational awareness is the most influential non-technical skill. Authors developed a disruptive program called Permanent Attention to generate situational awareness competencies and improve non-technical skills of front-line employees, showing significant improvements in situational awareness competency and CRM acquisition and retention.",[]
a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1006,Abstract,paragraph,1,Exercises for each element of the situational awareness have been designed to obtain optimal skills.,a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1006,A Disruptive Approach To CRM And Situational Awareness Competencies,C:\Users\gama_\TFM\etl_data\spe_papers_pdf\SPE_216422_Management_System_A_Disruptive_Approach_To_Crew_Resource_Management_And_Situational_Awareness_Competencies.pdf,Exercises for each element of the situational awareness have been designed to obtain optimal skills.,C:\Users\gama_\TFM\etl_data\spe_papers_pdf\SPE_216422_Management_System_A_Disruptive_Approach_To_Crew_Resource_Management_And_Situational_Awareness_Competencies.pdf,a-disruptive-approach-to-crm-and-situational-awareness-competenc,A Disruptive Approach To CRM And Situational Awareness Competencies,"['J.C. Lopez', 'C. Botero', 'G. Miranda', 'F. Aguilera', 'G. Mirdad', 'S. Moynet', 'K. Shehabeldeen', 'A.M. Villalobos', 'A. Alvarado']",,2023,,"Research has shown that lack of non-technical skills contributes to most personal and process safety incidents in high-risk industries. Situational awareness is the most influential non-technical skill. Authors developed a disruptive program called Permanent Attention to generate situational awareness competencies and improve non-technical skills of front-line employees, showing significant improvements in situational awareness competency and CRM acquisition and retention.",[]
a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1007,Abstract,paragraph,1,"To complement the practice of non-technical skills, employees are exposed to simulations of critical operational situations, so they can demonstrate their leadership, communications, teamwork, decision-making skills in group and learn how to manage stress in such situations.",a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1007,A Disruptive Approach To CRM And Situational Awareness Competencies,C:\Users\gama_\TFM\etl_data\spe_papers_pdf\SPE_216422_Management_System_A_Disruptive_Approach_To_Crew_Resource_Management_And_Situational_Awareness_Competencies.pdf,"To complement the practice of non-technical skills, employees are exposed to simulations of critical operational situations, so they can demonstrate their leadership, communications, teamwork, decision-making skills in group and learn how to manage stress in such situations.",C:\Users\gama_\TFM\etl_data\spe_papers_pdf\SPE_216422_Management_System_A_Disruptive_Approach_To_Crew_Resource_Management_And_Situational_Awareness_Competencies.pdf,a-disruptive-approach-to-crm-and-situational-awareness-competenc,A Disruptive Approach To CRM And Situational Awareness Competencies,"['J.C. Lopez', 'C. Botero', 'G. Miranda', 'F. Aguilera', 'G. Mirdad', 'S. Moynet', 'K. Shehabeldeen', 'A.M. Villalobos', 'A. Alvarado']",,2023,,"Research has shown that lack of non-technical skills contributes to most personal and process safety incidents in high-risk industries. Situational awareness is the most influential non-technical skill. Authors developed a disruptive program called Permanent Attention to generate situational awareness competencies and improve non-technical skills of front-line employees, showing significant improvements in situational awareness competency and CRM acquisition and retention.",[]
a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1008,Abstract,paragraph,1,"The levels of situational awareness competencies are periodically monitored via practical field-based SAGAT exercises after the training, to ensure a sustained improvement in the participants’ competencies.",a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1008,A Disruptive Approach To CRM And Situational Awareness Competencies,C:\Users\gama_\TFM\etl_data\spe_papers_pdf\SPE_216422_Management_System_A_Disruptive_Approach_To_Crew_Resource_Management_And_Situational_Awareness_Competencies.pdf,"The levels of situational awareness competencies are periodically monitored via practical field-based SAGAT exercises after the training, to ensure a sustained improvement in the participants’ competencies.",C:\Users\gama_\TFM\etl_data\spe_papers_pdf\SPE_216422_Management_System_A_Disruptive_Approach_To_Crew_Resource_Management_And_Situational_Awareness_Competencies.pdf,a-disruptive-approach-to-crm-and-situational-awareness-competenc,A Disruptive Approach To CRM And Situational Awareness Competencies,"['J.C. Lopez', 'C. Botero', 'G. Miranda', 'F. Aguilera', 'G. Mirdad', 'S. Moynet', 'K. Shehabeldeen', 'A.M. Villalobos', 'A. Alvarado']",,2023,,"Research has shown that lack of non-technical skills contributes to most personal and process safety incidents in high-risk industries. Situational awareness is the most influential non-technical skill. Authors developed a disruptive program called Permanent Attention to generate situational awareness competencies and improve non-technical skills of front-line employees, showing significant improvements in situational awareness competency and CRM acquisition and retention.",[]
a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1009,Abstract,paragraph,1,The feedback provided immediately after each SAGAT is key to let the participant focus on the element(s) of situational awareness that require improvement.,a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1009,A Disruptive Approach To CRM And Situational Awareness Competencies,C:\Users\gama_\TFM\etl_data\spe_papers_pdf\SPE_216422_Management_System_A_Disruptive_Approach_To_Crew_Resource_Management_And_Situational_Awareness_Competencies.pdf,The feedback provided immediately after each SAGAT is key to let the participant focus on the element(s) of situational awareness that require improvement.,C:\Users\gama_\TFM\etl_data\spe_papers_pdf\SPE_216422_Management_System_A_Disruptive_Approach_To_Crew_Resource_Management_And_Situational_Awareness_Competencies.pdf,a-disruptive-approach-to-crm-and-situational-awareness-competenc,A Disruptive Approach To CRM And Situational Awareness Competencies,"['J.C. Lopez', 'C. Botero', 'G. Miranda', 'F. Aguilera', 'G. Mirdad', 'S. Moynet', 'K. Shehabeldeen', 'A.M. Villalobos', 'A. Alvarado']",,2023,,"Research has shown that lack of non-technical skills contributes to most personal and process safety incidents in high-risk industries. Situational awareness is the most influential non-technical skill. Authors developed a disruptive program called Permanent Attention to generate situational awareness competencies and improve non-technical skills of front-line employees, showing significant improvements in situational awareness competency and CRM acquisition and retention.",[]
a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1010,Abstract,paragraph,1,"Once the feedback is received, the participant is requested to self-evaluate her level on each element of situational awareness.",a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1010,A Disruptive Approach To CRM And Situational Awareness Competencies,C:\Users\gama_\TFM\etl_data\spe_papers_pdf\SPE_216422_Management_System_A_Disruptive_Approach_To_Crew_Resource_Management_And_Situational_Awareness_Competencies.pdf,"Once the feedback is received, the participant is requested to self-evaluate her level on each element of situational awareness.",C:\Users\gama_\TFM\etl_data\spe_papers_pdf\SPE_216422_Management_System_A_Disruptive_Approach_To_Crew_Resource_Management_And_Situational_Awareness_Competencies.pdf,a-disruptive-approach-to-crm-and-situational-awareness-competenc,A Disruptive Approach To CRM And Situational Awareness Competencies,"['J.C. Lopez', 'C. Botero', 'G. Miranda', 'F. Aguilera', 'G. Mirdad', 'S. Moynet', 'K. Shehabeldeen', 'A.M. Villalobos', 'A. Alvarado']",,2023,,"Research has shown that lack of non-technical skills contributes to most personal and process safety incidents in high-risk industries. Situational awareness is the most influential non-technical skill. Authors developed a disruptive program called Permanent Attention to generate situational awareness competencies and improve non-technical skills of front-line employees, showing significant improvements in situational awareness competency and CRM acquisition and retention.",[]
