id,question
a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1001,What role do non-technical skills play in safety incidents in high-risk industries?
a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1001,Can you explain what the Permanent Attention program aims to achieve?
a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1001,How does the Permanent Attention program improve situational awareness competencies?
a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1001,What are the key components that the Permanent Attention program is based on?
a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1001,Why is situational awareness considered the most influential non-technical skill in the context of this research?
a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1002,What is the main focus of the paper discussed in the document?
a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1002,Which two key competencies are improved through the Permanent Attention program according to the abstract?
a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1002,Can you provide examples of organizations that implemented the program described in the paper?
a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1002,How does the Permanent Attention program contribute to the retention of non-technical skills?
a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1002,What are the outcomes observed from participants in the situational awareness competency as mentioned in the abstract?
a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1003,What is the primary focus of the program described in the document?
a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1003,What technique is employed to evaluate situational awareness competency in learners?
a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1003,What is the purpose of measuring situational awareness competency before and after training?
a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1003,Who are the authors associated with the Situation Awareness Global Assessment Technique mentioned in the document?
a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1003,How does the program aim to determine the effectiveness of its training approach?
a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1004,What statistical model is used to show the impact of the process on situational awareness elements?
a-disruptive-approach-to-crm-and-situational-awareness-competenc_PAGE1004,Which three elements of situational awareness are affected by the process discussed in the document?
